,status,,,,,
0,1,,,,,
1,1,,,,,
2,1,,,,,
3,1,,,,,
4,1,,,,,
5,1,,,,,
6,0,,,,,
7,0,,,,,
8,1,,,,,
9,1,,,,,
10,1,,,,,
11,1,,,,,
12,1,,,,,
13,1,,,,,
14,1,,,,,
15,1,,,,,
16,1,,,,,
17,0,,,,,
18,1,,,,,
19,1,,,,,
20,1,,,,,
21,1,,,,,
22,1,,,,,
23,1,,,,,
24,1,,,,,
25,1,,,,,
26,1,,,,,
27,1,,,,,
28,1,,,,,
29,0,,,,,
30,1,,,,,
31,0,,,,,
32,1,,,,,
33,1,,,,,
34,1,,,,,
35,1,,,,,
36,1,,,,,
37,1,,,,,
38,1,,,,,
39,1,,,,,
40,1,,,,,
41,1,,,,,
42,1,,,,,
43,0,,,,,
44,0,,,,,
45,0,,,,,
46,1,,,,,
47,1,,,,,
48,1,,,,,
49,1,,,,,
50,1,,,,,
51,1,,,,,
52,0,,,,,
53,0,,,,,
54,0,,,,,
55,0,,,,,
56,0,,,,,
57,0,,,,,
58,1,,,,,
59,0,,,,,
60,0,,,,,
61,0,,,,,
62,0,,,,,
63,0,,,,,
64,0,,,,,
65,0,,,,,
66,0,,,,,
67,0,,,,,
68,0,,,,,
69,1,,,,,
70,1,,,,,
71,1,,,,,
72,1,,,,,
73,1,,,,,
74,1,,,,,
75,0,,,,,
76,0,,,,,
77,1,,,,,
78,0,,,,,
79,0,,,,,
80,1,,,,,
81,1,,,,,
82,1,,,,,
83,1,,,,,
84,1,,,,,
85,1,,,,,
86,1,,,,,
87,1,,,,,
88,1,,,,,
89,1,,,,,
90,1,,,,,
91,1,,,,,
92,0,,,,,0.640776699
93,0,,,,,
94,0,,,,,
95,0,,,,,
96,0,,,,,
97,0,,,,,
98,1,,,,,
99,0,,,,,
100,0,,,,,
101,0,,,,,
102,1,,,,,
